,_unit_id,_golden,_unit_state_x,_trusted_judgments,_last_judgment_at_x,violence_judgment,violence,violence_confidence,protest_judgment_x,protest,protest_confidence,created_at,id,proccd_text,Fatma_protest,Fatma_violence,clean_text
223,1657978251,False,finalized,3,04/04/18 09:44,"""nan""",0.0,1.0,"""000""",0,1.0,Sun Jun 16 20:05:32 +0000 2013,3.46e+17,turkey unrest mass rally for erdogan amid new clashes bbc news via world google news bbc .. httpAddress,0,1,unrest mass rally erdogan amid new clashes bbc news via world google news bbc
224,1657978252,False,finalized,3,04/04/18 09:16,"""nan""",0.0,1.0,"""000""",0,1.0,Sun Jun 16 19:11:13 +0000 2013,3.46e+17,usrId turkey burgers n hot chocolate really hoe here we go yo,0,0,burgers n hot chocolate really hoe go yo
225,1657978253,False,finalized,3,04/03/18 22:25,"""nan""",0.0,1.0,"""000""",0,1.0,Fri Jun 14 14:48:59 +0000 2013,3.46e+17,usrId dont take this personal but the problem is when erdogan was getting applause from foreign gov s and media most of the peoplehere,0,0,dont take personal problem erdogan getting applause foreign gov media peoplehere
226,1657978254,False,finalized,3,04/03/18 18:13,"""000""",0.0,1.0,"""111""",1,1.0,Sat Jun 08 19:29:29 +0000 2013,3.43e+17,rt usrId place #taksim at this time #occupygezi #turkey httpAddress via usrId,0,0,place time via
227,1657978255,False,finalized,3,04/03/18 20:51,"""00""",0.0,0.6612,"""011""",1,0.6612,Wed Jun 19 11:35:18 +0000 2013,3.47e+17,standing the newest form of protest in turkey httpAddress,1,0,standing newest form
228,1657978256,False,finalized,3,04/03/18 20:56,"""001""",0.0,0.6748,"""111""",1,1.0,Sun Jun 02 17:43:20 +0000 2013,3.41e+17,rt usrId scenes from ankara and izmir quite httpAddress with police httpAddress about this results in being labeled a p,0,0,scenes ankara izmir quite police results labeled p
229,1657978257,False,finalized,3,04/03/18 18:06,"""0""",0.0,0.0,"""010""",0,0.6676,Sat Jun 01 01:26:33 +0000 2013,3.41e+17,rt usrId huge disconnect btwn what i m seeing in media about istanbul and what social media is httpAddress,0,0,huge disconnect btwn seeing media social media
230,1657978258,False,finalized,3,04/03/18 22:18,"""010""",0.0,0.6712,"""111""",1,1.0,Sat Jun 01 01:43:40 +0000 2013,3.41e+17,rt usrId #huffingtonpost photos #occupygezi protests turn httpAddress what began as a peaceful protest aimed .. httpAddress,1,0,huffingtonpost photos turn began peaceful aimed
231,1657978259,False,finalized,3,04/03/18 19:01,"""nan""",0.0,1.0,"""000""",0,1.0,Mon Jun 03 00:33:32 +0000 2013,3.41e+17,first time attempting parsley pesto and httpAddress out httpAddress ok so the turkey wings were a perfect httpAddress,0,0,first time attempting parsley pesto ok wings perfect
233,1657978262,False,finalized,3,04/07/18 15:21,"""nan""",0.0,1.0,"""000""",0,1.0,Wed Jun 05 11:51:47 +0000 2013,3.42e+17,twitter condemned turkish media criticized for ignoring protests and police brutality rt news httpAddress,1,1,twitter condemned media criticized ignoring police brutality news
234,1657978264,False,finalized,3,4/21/2018 18:13:48,"""0""",0.0,0.0,"""001""",0,0.6783,Sat Jun 15 09:03:45 +0000 2013,3.46e+17,rt usrId erdogan steps back from a final confrontation trying to strike an outline deal with the protesters httpAddress,1,0,erdogan steps back final confrontation trying strike outline deal
235,1657978265,False,finalized,3,04/03/18 19:20,"""000""",0.0,1.0,"""111""",1,1.0,Sun Jun 16 14:14:08 +0000 2013,3.46e+17,protesters who return to taksim are terrorist supporters turkish minister rt news httpAddress,1,0,return terrorist supporters minister news
236,1657978266,False,finalized,3,04/03/18 18:10,"""10""",0.0,0.3388,"""101""",1,0.6667,Thu Jun 13 22:08:06 +0000 2013,3.45e+17,rt usrId sad to hear of the violence in httpAddress examine yr actions with yr heart amp ,0,0,sad hear violence examine yr actions yr heart
237,1657978268,False,finalized,3,04/07/18 10:56,"""0""",0.0,0.0,"""010""",0,0.6786,Fri Jun 14 21:30:59 +0000 2013,3.46e+17,rt usrId bbc suspends partnership with #turkey s usrId after it decided not to transmit bbc programme dunya gundemi world agenda,0,0,bbc suspends partnership decided transmit bbc programme dunya gundemi world agenda
238,1657978270,False,finalized,3,04/03/18 21:20,"""nan""",0.0,1.0,"""000""",0,1.0,Mon Jun 17 13:34:36 +0000 2013,3.47e+17,rt usrId turkey s state tv regulatory body says they fined halktv which aired protests live not penguin films but it has not,0,0,state tv regulatory body says fined halktv aired live penguin films
239,1657978271,False,finalized,3,04/06/18 16:09,"""nan""",0.0,1.0,"""000""",0,1.0,Thu Jun 20 12:36:13 +0000 2013,3.48e+17,rt usrId thomas l . friedman #turkey s #erdogan abuses his power and quickly loses it ,0,0,thomas l friedman erdogan abuses power quickly loses
240,1657978274,False,finalized,3,04/03/18 19:46,"""nan""",0.0,1.0,"""000""",0,1.0,Wed Jun 05 20:59:09 +0000 2013,3.42e+17,rt usrId dont #kurds deserve same solidarity and media attention ? why is there such a selective empathy when it comes to who is,0,0,dont kurds deserve solidarity media attention selective empathy comes
241,1657978277,False,finalized,3,04/09/18 16:53,"""111""",1.0,1.0,"""111""",1,1.0,Sun Jun 02 16:33:12 +0000 2013,3.41e+17,rt usrId cnn turk vs cnn the media blackout in httpAddress jun DD 16 33 12 00 2013 dear carl ! please talk to your friend httpAddress but don t believe his shoothing lies this time ! usrId #direngezi #tayyipresign 341231049449287680 sun jun DD 16 33 16 00 2013 now the armoured vans are burned out as is the building the police httpAddress #occupygezi,1,1,cnn turk vs cnn media blackout dear carl please talk friend believe shoothing lies time direngezi tayyipresign armoured vans burned building police
242,1657978278,False,finalized,3,04/04/18 09:25,"""010""",0.0,0.6658,"""111""",1,1.0,Wed Jun 05 19:08:03 +0000 2013,3.42e+17,fireworks going off above gezi park in istanbul just minutes httpAddress #wearegezi #occupygezi httpAddress via usrId,0,0,fireworks going minutes wearegezi via
243,1657978279,False,finalized,3,04/09/18 16:53,"""nan""",0.0,1.0,"""000""",0,1.0,Wed Jun 05 13:50:56 +0000 2013,3.42e+17,rt usrId will #istanbuls protests shift #turkeys syria stance ? #syria news httpAddress,1,0,istanbuls shift turkeys syria stance syria news
244,1657978283,False,finalized,3,04/07/18 09:54,"""1""",0.0,0.0,"""001""",0,0.6767,Sat Jun 01 08:27:00 +0000 2013,3.41e+17,rt usrId police accused of excessive force in #istanbul httpAddress at 4 day protest over #taksim square plans httpAddress,1,1,police accused excessive force day square plans
245,1657978284,False,finalized,3,04/05/18 21:44,"""00""",0.0,0.6615,"""101""",1,0.6615,Tue Jun 18 07:24:09 +0000 2013,3.47e+17,rt usrId standing man inspires silent demonstration in turkey httpAddress httpAddress,1,0,standing man inspires silent demonstration
246,1657978288,False,finalized,3,04/07/18 09:51,"""000""",0.0,1.0,"""111""",1,1.0,Sat Jun 08 16:21:16 +0000 2013,3.43e+17,rt usrId #istanbul mayor says no shopping mall to be built at #gezi park but military barracks project to continue ,0,0,mayor says shopping mall built military barracks project continue
248,1657978291,False,finalized,3,04/03/18 21:22,"""nan""",0.0,1.0,"""000""",0,1.0,Sat Jun 01 06:07:29 +0000 2013,3.41e+17,rt usrId #turkey we are learning from their soap operas and they are learning from our spring httpAddress,0,0,learning soap operas learning spring
249,1657978292,False,finalized,3,04/03/18 22:53,"""0""",0.0,0.0,"""100""",0,0.6712,Sun Jun 16 15:26:28 +0000 2013,3.46e+17,usrId hey congrats roger you deserved httpAddress can you give a retweet for peaceful protestors in turkey pls ??,0,0,hey congrats roger deserved give retweet peaceful protestors pls
251,1657978294,False,finalized,3,04/03/18 18:24,"""000""",0.0,1.0,"""111""",1,1.0,Fri Jun 07 09:13:55 +0000 2013,3.43e+17,everyday we re chapulling in such an amazing way ! #direngezi #direnizmir #direnturkiye #occupygezi httpAddress,1,0,everyday chapulling amazing way direngezi direnizmir direnturkiye
252,1657978297,False,finalized,3,04/03/18 20:51,"""00""",0.0,0.6748,"""110""",1,0.6748,Sat Jun 01 06:00:46 +0000 2013,3.41e+17,rt usrId i want to say fuck ! can i say that ? oh my sweet httpAddress httpAddress #occupygezi,0,0,want say fuck say oh sweet
253,1657978299,False,finalized,3,4/23/2018 09:30:58,"""011""",1.0,0.6609,"""111""",1,1.0,Sun Jun 02 01:43:54 +0000 2013,3.41e+17,rt usrId the police now attacking the bahcesehir httpAddress support us . #occupygezi #direngeziparki httpAddress,1,1,police attacking bahcesehir support us
254,1657978300,False,finalized,3,04/06/18 12:16,"""00""",0.0,0.6668,"""110""",1,0.6668,Sun Jun 02 10:39:03 +0000 2013,3.41e+17,rt usrId #madonna stop the violence in turkey ! start a revolution of love ! tolerance human dignity and respect ! httpAddress,0,0,madonna stop violence start revolution love tolerance human dignity respect
255,1657978304,False,finalized,3,04/03/18 17:19,"""000""",0.0,1.0,"""111""",1,1.0,Fri Jun 14 17:49:59 +0000 2013,3.46e+17,rt usrId twitter refuses to share the data of its users detained in #occupygezi protests httpAddress via usrId #t,1,0,twitter refuses share data users detained via t
256,1657978308,False,finalized,3,04/06/18 13:45,"""nan""",0.0,1.0,"""000""",0,1.0,Sun Jun 16 15:42:48 +0000 2013,3.46e+17,rt usrId prime minister erdogan addressing the millions in istanbul i m not your master but i m your httpAddress #istanbul #earthly #he,0,0,prime minister erdogan addressing millions master earthly he
257,1657978310,False,finalized,3,04/03/18 18:49,"""00""",0.0,0.6612,"""101""",1,0.6612,Tue Jun 18 14:32:21 +0000 2013,3.47e+17,in turkey a new form of protest standing silently for hours httpAddress,1,0,new form standing silently hours
258,1657978312,False,finalized,3,04/06/18 12:54,"""101""",1.0,0.6666,"""111""",1,1.0,Sat Jun 15 18:17:11 +0000 2013,3.46e+17,heavy attack on gezi park right httpAddress police have cleared the square and are heading into the httpAddress,1,1,heavy attack right police cleared square heading
259,1657978314,False,finalized,3,4/21/2018 18:09:20,"""nan""",0.0,1.0,"""000""",0,1.0,Wed Jun 26 06:42:06 +0000 2013,3.5e+17,D weeks today ill be off to turkey,0,0,weeks today ill
260,1657978315,False,finalized,3,04/04/18 08:55,"""0""",0.0,0.0,"""010""",0,0.6658,Thu Jun 13 03:28:52 +0000 2013,3.45e+17,D canadian journalists detained during istanbul protests people s daily online httpAddress,1,1,canadian journalists detained people daily online
261,1657978316,False,finalized,3,04/07/18 17:12,"""nan""",0.0,1.0,"""000""",0,1.0,Mon Jun 03 17:09:14 +0000 2013,3.42e+17,not everyone is with the secularists in turkey httpAddress liveleak,0,0,everyone secularists liveleak
262,1657978317,False,finalized,3,04/05/18 21:44,"""110""",1.0,0.6714,"""111""",1,1.0,Sun Jun 16 18:53:55 +0000 2013,3.46e+17,rt usrId istanbul chanting we will win through resistane 346339886430822400 sun jun DD 18 53 58 00 2013 istanbul shaken by fresh violence httpAddress httpAddress via usrId jun DD 18 54 04 00 2013 rt usrId rt pls !! #direngeziparki youranonnews police dropping teargas bombs from httpAddress #occupygezi #taksim,1,1,chanting win resistane shaken fresh violence via pls youranonnews police dropping teargas bombs
263,1657978318,False,finalized,3,04/06/18 12:26,"""nan""",0.0,1.0,"""000""",0,1.0,Thu Jun 06 23:51:26 +0000 2013,3.43e+17,rt usrId erdogan my opponents could not beat me at the ballot box so they are trying other httpAddress,0,0,erdogan opponents could beat ballot box trying
265,1657978321,False,finalized,3,04/03/18 20:52,"""101""",1.0,0.6658,"""111""",1,1.0,Sun Jun 16 14:37:49 +0000 2013,3.46e+17,#occupygezi #stanbul #taksim no ! istanbul is not foggy in httpAddress it is tear gas ! httpAddress,0,0,stanbul foggy tear gas
266,1657978324,False,finalized,3,04/09/18 14:15,"""nan""",0.0,1.0,"""000""",0,1.0,Tue Jun 11 21:28:12 +0000 2013,3.45e+17,deciding whether to ween or to cold turkey back onto pharmaceuticals,0,0,deciding whether ween cold back onto pharmaceuticals
267,1657978325,False,finalized,3,04/03/18 18:26,"""nan""",0.0,1.0,"""000""",0,1.0,Sun Jun 02 17:51:56 +0000 2013,3.41e+17,rt usrId hilaldemir of course our comrade usrId did this httpAddress that everyone is filling with social p,0,0,hilaldemir course comrade everyone filling social p
269,1657978331,False,finalized,3,04/03/18 21:34,"""000""",0.0,1.0,"""111""",1,1.0,Sun Jun 16 20:13:22 +0000 2013,3.46e+17,rt usrId olympic games of httpAddress you must be very proud pm httpAddress #occupygezi #occupyturkey,0,0,olympic games must proud occupyturkey
270,1657978332,False,finalized,3,04/07/18 17:12,"""00""",0.0,0.6667,"""101""",1,0.6667,Thu Jun 06 14:45:26 +0000 2013,3.43e+17,speakers in gezi park calling on people across turkey to come out when erdogan returns at httpAddress make a lot of noise so that he can hear us,1,0,speakers calling people across come erdogan returns make lot noise hear us
271,1657978333,False,finalized,3,04/03/18 18:03,"""000""",0.0,1.0,"""111""",1,1.0,Wed Jun 19 22:56:31 +0000 2013,3.47e+17,rt usrId what started as a small protest in a tiny park has become a movement that won t disappear httpAddress #occupygezi,1,0,started small tiny become movement disappear
272,1657978334,False,finalized,3,04/03/18 17:58,"""00""",0.0,0.6729999999999999,"""011""",1,0.6729999999999999,Tue Jun 11 21:47:29 +0000 2013,3.45e+17,well this is interesting if you type in httpAddress akp website opens up ?! #occupygezi,0,0,well interesting type akp website opens
273,1657978335,False,finalized,3,04/03/18 20:18,"""nan""",0.0,1.0,"""000""",0,1.0,Mon Jun 03 13:24:40 +0000 2013,3.42e+17,httpAddress dangerous black bloc fighted by police ! httpAddress,0,1,dangerous black bloc fighted police
275,1657978341,False,finalized,3,04/06/18 11:52,"""00""",0.0,0.6632,"""110""",1,0.6632,Sat Jun 01 05:03:08 +0000 2013,3.41e+17,usrId yeah there was an occupy movement to save a park in istanbul and the police went nuts,1,0,yeah occupy movement save police went nuts
276,1657978345,False,finalized,3,04/03/18 20:45,"""nan""",0.0,1.0,"""000""",0,1.0,Sun Jun 09 09:01:08 +0000 2013,3.44e+17,usrId 4th #national #biocidal #congress with #international participation will be held between march 19 23 DD in #antalya #turkey,0,0,th national biocidal congress international participation held march antalya
277,1657978352,False,finalized,3,4/20/2018 13:22:17,"""00""",0.0,0.7,"""110""",1,0.7,Fri Jun 07 09:22:40 +0000 2013,3.43e+17,for the kurds every day is #occupygezi httpAddress,0,0,kurds every day
278,1657978353,False,finalized,3,04/07/18 16:21,"""nan""",0.0,1.0,"""000""",0,1.0,Sun Jun 02 18:49:31 +0000 2013,3.41e+17,stay safe friends in istanbul ! httpAddress,0,0,stay safe friends
279,1657978356,False,finalized,3,04/03/18 18:24,"""0""",0.0,0.0,"""001""",0,0.6612,Mon Jun 03 15:49:31 +0000 2013,3.42e+17,post edited no letup in turkey protests httpAddress,0,0,post edited letup
280,1657978357,False,finalized,3,4/23/2018 09:44:48,"""nan""",0.0,1.0,"""000""",0,1.0,Wed Jun 05 23:55:16 +0000 2013,3.42e+17,ugh rt usrId omg u guys can you believe what happened to me in turkey ? httpAddress,0,0,ugh omg u guys believe happened
281,1657978359,False,finalized,3,04/03/18 18:39,"""nan""",0.0,1.0,"""000""",0,1.0,Mon Jun 10 12:27:15 +0000 2013,3.44e+17,usrId unfortunately history repeated execution adnan menderes than a coup against necmettin erbakan and erdogan s turn,0,0,unfortunately history repeated execution adnan menderes coup necmettin erbakan erdogan turn
282,1657978360,False,finalized,3,04/03/18 19:21,"""nan""",0.0,1.0,"""000""",0,1.0,Sat Jun 22 17:41:10 +0000 2013,3.48e+17,rt usrId standing httpAddress photo by marko djurica via httpAddress #duranadam #turkey httpAddress httpAddress,0,0,standing photo marko djurica via duranadam
283,1657978361,False,finalized,3,04/03/18 18:02,"""010""",0.0,0.6667,"""111""",1,1.0,Mon Jun 10 15:01:31 +0000 2013,3.44e+17,occupy turkey activists arrested for social media posts amid httpAddress httpAddress via usrId,0,1,occupy activists arrested social media posts amid via
285,1657978364,False,finalized,3,04/04/18 09:01,"""nan""",0.0,1.0,"""000""",0,1.0,Thu Jun 06 07:16:44 +0000 2013,3.43e+17,monster httpAddress eggs with cottage cheese turkey bacon and toasted oatalicious httpAddress on leg day !! httpAddress,0,0,monster eggs cottage cheese bacon toasted oatalicious leg day
286,1657978365,False,finalized,3,04/03/18 18:33,"""000""",0.0,1.0,"""111""",1,1.0,Mon Jun 10 11:39:33 +0000 2013,3.44e+17,rt usrId usrId women on the front lines of 344056242970427392 mon jun DD 11 39 35 00 2013 i want to take pictures of the city of httpAddress jun DD 11 39 55 00 2013 check this article ! httpAddress jun DD 11 39 59 00 2013 turkey s opposition leader says erdogan throwing society into the fire httpAddress usrId jun DD 11 40 09 00 2013 rt usrId rt usrId who supports #erdogan in #turkey at what ? httpAddress 4 increased since DD httpAddress jun DD 11 40 21 00 2013 we are looking for a principal geologist for a mining httpAddress role based in httpAddress httpAddress #mining #miningjobs 344056532385796097 mon jun DD 11 40 44 00 2013 rt usrId turkey s eu minister calls protests an operation to prevent turkey and its economy from growing and ending terrorism httpAddress jun DD 11 40 51 00 2013 rt usrId the new dictator ! and the fall httpAddress soon everywhere on internet ! #occupygezi #direngeziparki #provokatrtayyip http 344056586878205952 mon jun DD 11 40 57 00 2013 rt usrId istanbul united ne lan ? forever gala httpAddress jun DD 11 41 18 00 2013 rt usrId istanbul united ne lan ? forever gala httpAddress jun DD 11 41 23 00 2013 rt usrId national geographic received a huge assignment from #erdogan to produce 24 hrs of nonstop penguin documentary for turkish medi 3440567768DD974656 mon jun DD 11 41 42 00 2013 washingtonpost turkish people are behind its president httpAddress provocateurs are not the httpAddress we are talking about DD million httpAddress jun DD 11 41 48 00 2013 lubnanli bir arkadasin gezi yorumu we are all living the same challenges against corrupt governments and horrendous corporations,1,0,women front lines mon want take pictures city check article opposition leader says erdogan throwing society fire supports erdogan increased since looking principal geologist mining role based mining miningjobs mon eu minister calls operation prevent economy growing ending terrorism new dictator fall soon everywhere internet provokatrtayyip mon united ne lan forever gala united ne lan forever gala national geographic received huge assignment erdogan produce hrs nonstop penguin documentary medi mon washingtonpost people behind president provocateurs talking million lubnanli bir arkadasin yorumu living challenges corrupt governments horrendous corporations
287,1657978368,False,finalized,3,04/03/18 18:46,"""000""",0.0,1.0,"""111""",1,1.0,Mon Jun 03 09:43:41 +0000 2013,3.41e+17,re youtube associatedpress raw protests heat up in turkey httpAddress,1,0,youtube associatedpress raw heat
288,1657978369,False,finalized,3,04/04/18 09:12,"""nan""",0.0,1.0,"""000""",0,1.0,Sun Jun 02 14:26:00 +0000 2013,3.41e+17,history pics a man with a sheep on his back at a sheep market in turkey 1930s httpAddress #sup,0,0,history pics man sheep back sheep market s sup
289,1657978370,False,finalized,3,04/03/18 19:03,"""000""",0.0,1.0,"""111""",1,1.0,Mon Jun 03 17:31:49 +0000 2013,3.42e+17,rt usrId latest travel advice for turkey httpAddress british nationals should avoid all demonstrations !,0,0,latest travel advice british nationals avoid demonstrations
290,1657978372,False,finalized,3,04/04/18 09:01,"""01""",1.0,0.3342,"""110""",1,0.6658,Fri May 31 15:46:23 +0000 2013,3.4e+17,rt usrId after a day of ignoring protests and police violence in #istanbul every major channel aired entire 45 minute presser b,1,1,day ignoring police violence every major channel aired entire minute presser b
291,1657978373,False,finalized,3,04/03/18 18:24,"""nan""",0.0,1.0,"""000""",0,1.0,Wed Jun 05 12:41:38 +0000 2013,3.42e+17,at height of political career erdogan s powers put to test haaretz httpAddress,0,0,height political career erdogan powers put test haaretz
292,1657978374,False,finalized,3,4/21/2018 17:54:13,"""0""",0.0,0.0,"""001""",0,0.6783,Tue Jun 04 13:18:19 +0000 2013,3.42e+17,rt usrId turkey is a democracy not a dictatorship so there is no reason to compare protests in istanbul to tahrir rather than was,0,0,democracy dictatorship reason compare tahrir rather
293,1657978375,False,finalized,3,4/23/2018 13:26:09,"""0""",0.0,0.0,"""010""",0,0.6783,Mon Jun 03 18:12:04 +0000 2013,3.42e+17,rt usrId stop talking about amanda httpAddress instead read and watch a gripping video montage about what is happening in httpAddress httpAddress,0,0,stop talking amanda instead read watch gripping video montage happening
294,1657978378,False,finalized,3,04/03/18 22:10,"""00""",0.0,0.6712,"""101""",1,0.6712,Mon Jun 17 18:46:05 +0000 2013,3.47e+17,thanks vlad great video audio #occupygezi live at httpAddress,0,0,thanks vlad great video audio live
295,1657978379,False,finalized,3,04/06/18 14:35,"""011""",1.0,0.6666,"""111""",1,1.0,Sat Jun 08 22:25:14 +0000 2013,3.43e+17,rt usrId had to spray my eyes with malox httpAddress now standing by a fire because smoke helps with tear httpAddress right now in httpAddress #occupyg,1,1,spray eyes malox standing fire smoke helps tear right occupyg
296,1657978380,False,finalized,3,4/22/2018 12:42:04,"""0""",0.0,0.0,"""001""",0,0.6783,Fri Jun 07 00:37:57 +0000 2013,3.43e+17,rt usrId if you thought pm erdogan doubled down httpAddress comments in tunisia well then he went all in with airport speech against #occupyge,0,0,thought erdogan doubled comments tunisia well went airport speech occupyge
297,1657978381,False,finalized,3,04/03/18 22:23,"""000""",0.0,1.0,"""111""",1,1.0,Sat Jun 01 23:46:33 +0000 2013,3.41e+17,rt usrId video allegedly showing a protester being run over by a police vehicle in #ankara #turkey httpAddress #occupygezi #t,1,1,video allegedly showing protester run police vehicle ankara t
298,1657978382,False,finalized,3,04/03/18 18:10,"""nan""",0.0,1.0,"""000""",0,1.0,Thu Jun 13 00:44:06 +0000 2013,3.45e+17,rt usrId cbc journalists say they ve been released by httpAddress #sasapetricic and #derekstoffelcbc were arrested in httpAddress,0,1,cbc journalists say released sasapetricic derekstoffelcbc arrested
299,1657978383,False,finalized,3,04/03/18 18:22,"""nan""",0.0,1.0,"""000""",0,1.0,Sat Jun 08 11:26:19 +0000 2013,3.43e+17,usrId women are second class in there religion thats why i don t understand it as i ve been to turkey which is a muslim country and,0,0,women second class religion thats understand muslim country
300,1657978384,False,finalized,3,04/03/18 19:20,"""000""",0.0,1.0,"""111""",1,1.0,Tue Jun 11 15:31:54 +0000 2013,3.44e+17,rt usrId #erdogan shutting down democracy ? now he arrests httpAddress condemnation of police violence #wearegezi #turkeynotal,1,1,erdogan shutting democracy arrests condemnation police violence wearegezi turkeynotal
301,1657978385,False,finalized,3,04/03/18 17:11,"""111""",1.0,1.0,"""111""",1,1.0,Sun Jun 02 08:18:36 +0000 2013,3.41e+17,rt usrId people helping out street animals affected by tear httpAddress stop police violence ! #turkey #direngeziparki #occupygezi httpAddress,1,1,people helping street animals affected tear stop police violence
303,1657978388,False,finalized,3,4/21/2018 17:56:14,"""0""",0.0,0.0,"""001""",0,0.6783,Sat Jun 01 15:04:51 +0000 2013,3.41e+17,dear internet no the turkish government wasnt hours from httpAddress exaggerating hurts these causes httpAddress httpAddress,0,0,dear internet government wasnt hours exaggerating hurts causes
304,1657978389,False,finalized,3,04/03/18 21:23,"""001""",0.0,0.6622,"""111""",1,1.0,Sat Jun 01 05:52:37 +0000 2013,3.41e+17,rt usrId istanbul park battle teargas and clashes amid tree uprooting project photo gallery httpAddress #occupygezi #turkey,1,1,battle teargas clashes amid tree uprooting project photo gallery
305,1657978391,False,finalized,3,04/07/18 17:04,"""000""",0.0,1.0,"""111""",1,1.0,Tue Jun 25 13:56:03 +0000 2013,3.5e+17,rt usrId the real side of gezi with me on live tv . my only request would be to show the footage i provide as well #stoplyingcnn,0,0,real side live tv request would show footage provide well stoplyingcnn
306,1657978392,False,finalized,3,4/22/2018 12:37:26,"""1""",0.0,0.0,"""001""",0,0.6783,Mon Jun 03 13:06:26 +0000 2013,3.42e+17,why turks are fighting to take back istanbul by david kenner fp passport httpAddress,0,0,turks fighting take back david kenner fp passport
307,1657978393,False,finalized,3,04/03/18 21:53,"""010""",0.0,0.6721,"""111""",1,1.0,Sat Jun 01 11:33:06 +0000 2013,3.41e+17,rt usrId frightening httpAddress coming from httpAddress #direngaziparki appears to be the main hashtag used,0,0,frightening coming direngaziparki appears main hashtag used
308,1657978396,False,finalized,3,4/22/2018 12:35:10,"""1""",0.0,0.0,"""001""",0,0.6783,Fri May 31 16:09:08 +0000 2013,3.41e+17,rt usrId its astounding how i ve seen almost no coverage of protests paralyzing life in downtown istanbul on turkish tv except for may,1,0,astounding seen almost coverage paralyzing life downtown tv except
309,1657978399,False,finalized,3,04/03/18 17:33,"""1""",0.0,0.0,"""001""",0,0.6612,Tue Jun 18 19:10:40 +0000 2013,3.47e+17,usrId #humanrights #anonymous #turkey 7 822 injured with DD in serious condition bianet httpAddress english bianet http httpAddresshttpAddresst . cohttpAddressktnjpg3zwa,0,0,humanrights anonymous injured serious condition bianet english bianet cohttpaddressktnjpg zwa
311,1657978402,False,finalized,3,4/14/2018 05:48:51,"""11""",1.0,0.6667,"""110""",1,0.6667,Sat Jun 01 07:38:20 +0000 2013,3.41e+17,rt usrId a shopping mall opened its doors to people running away from gas httpAddress #occupygezi #direngezipark,1,1,shopping mall opened doors people running away gas
312,1657978403,False,finalized,3,04/03/18 18:16,"""nan""",0.0,1.0,"""000""",0,1.0,Fri Jun 07 14:41:04 +0000 2013,3.43e+17,america rode out on turkey with this revolution talk and you sheep followed httpAddress now the country we all love is in httpAddress well httpAddress,0,0,america rode revolution talk sheep followed country love well
313,1657978405,False,finalized,3,04/04/18 09:08,"""00""",0.0,0.6658,"""110""",1,0.6658,Fri Jun 07 00:12:16 +0000 2013,3.43e+17,rt usrId mainstream media tv channels go live with pm #erdogans arrival in istanbul ! censorship anyone ?! #occupygezi httpAddress,1,0,mainstream media tv channels go live erdogans arrival censorship anyone
314,1657978406,False,finalized,3,04/03/18 21:18,"""011""",1.0,0.6594,"""111""",1,1.0,Fri May 31 21:09:42 +0000 2013,3.41e+17,rt usrId this old man lost an ear #occupygezi but the police didn t allow the ambulance to move in ! httpAddress,1,1,old man lost ear police allow ambulance move
315,1657978408,False,finalized,3,4/14/2018 05:48:08,"""nan""",0.0,1.0,"""000""",0,1.0,Wed Jun 05 12:01:46 +0000 2013,3.42e+17,#turkey live streaming from the trade union demonstration in istanbul taksim httpAddress,0,0,live streaming trade union demonstration
316,1657978409,False,finalized,3,04/11/18 21:50,"""nan""",0.0,1.0,"""000""",0,1.0,Fri May 31 18:47:33 +0000 2013,3.41e+17,would do anything to go back to egyptturkey !,0,0,would anything go back egyptturkey
317,1657978411,False,finalized,3,04/03/18 20:18,"""nan""",0.0,1.0,"""000""",0,1.0,Mon Jun 03 19:38:08 +0000 2013,3.42e+17,wale ft . rihanna bad httpAddress #1love #bestsong #great #amazing !!,0,0,wale ft rihanna bad love bestsong great amazing
318,1657978412,False,finalized,3,4/23/2018 09:27:53,"""0""",0.0,0.0,"""001""",0,0.6783,Sun Jun 16 18:43:35 +0000 2013,3.46e+17,rt usrId the police are not here to fight httpAddress they re here to protect the rich from the httpAddress turkey is only today s examp,1,0,police fight protect rich today examp
319,1657978413,False,finalized,3,04/06/18 12:00,"""nan""",0.0,1.0,"""000""",0,1.0,Sun Jun 16 04:06:54 +0000 2013,3.46e+17,rt usrId when thousands of people march from a continent to another at httpAddress am that is writing httpAddress httpAddress #oc,0,0,thousands people march continent another writing oc
320,1657978415,False,finalized,3,04/07/18 09:31,"""nan""",0.0,1.0,"""000""",0,1.0,Thu Jun 06 18:35:01 +0000 2013,3.43e+17,it s telling isn t it ? #turkey pm usrId has more than 2 7 mill followers on twitter but follows no one usrId usrId,0,0,telling mill followers twitter follows one
321,1657978416,False,finalized,3,04/04/18 09:23,"""nan""",0.0,1.0,"""000""",0,1.0,Sat Jun 08 20:47:45 +0000 2013,3.43e+17,rt usrId disappointed by the lost opportunity at the #istanbul conference to reach out to those calling for respect inclusive di,0,0,disappointed lost opportunity conference reach calling respect inclusive di
322,1657978420,False,finalized,3,04/07/18 10:25,"""00""",0.0,0.6607,"""110""",1,0.6607,Sat Jun 08 18:02:30 +0000 2013,3.43e+17,besiktas fans usrId shared this image taksim sq . from the roof of ataturk cultural center today httpAddress #occupygezi,1,0,besiktas fans shared image sq roof ataturk cultural center today
